epoch,loss_contrastive_divergence_epoch,loss_contrastive_divergence_step,loss_epoch,loss_regularization_epoch,loss_regularization_step,loss_step,lr-Adam,step
,,,,,,,0.0001,0
0,0.03179730847477913,,0.03199692815542221,0.00019961531506851315,,,,7
,,,,,,,9.7e-05,8
1,-0.015624399296939373,,-0.015444912016391754,0.00017948671302292496,,,,15
,,,,,,,9.409e-05,16
2,-0.04473818838596344,,-0.044110625982284546,0.0006275597843341529,,,,23
,,,,,,,9.12673e-05,24
3,-0.07512962073087692,,-0.07374677807092667,0.0013828544178977609,,,,31
,,,,,,,8.8529281e-05,32
4,-0.0987410694360733,,-0.09621727466583252,0.002523785224184394,,,,39
,,,,,,,8.587340257e-05,40
5,-0.11335882544517517,,-0.1093921810388565,0.00396664859727025,,,,47
,,,,,,,8.329720049289999e-05,48
6,,-0.1113581731915474,,,0.004458615090698004,-0.10689955949783325,,49
6,-0.1333698183298111,,-0.1279047280550003,0.005465090274810791,,,,55
,,,,,,,8.079828447811299e-05,56
7,-0.14028209447860718,,-0.13298861682415009,0.007293482311069965,,,,63
,,,,,,,7.83743359437696e-05,64
8,-0.1450112760066986,,-0.13564234972000122,0.009368935599923134,,,,71
,,,,,,,7.60231058654565e-05,72
9,-0.14024733006954193,,-0.12883692979812622,0.011410420760512352,,,,79
,,,,,,,7.37424126894928e-05,80
10,-0.12578901648521423,,-0.11232492327690125,0.01346409972757101,,,,87
,,,,,,,7.1530140308808e-05,88
11,-0.14853356778621674,,-0.13347361981868744,0.015059961006045341,,,,95
,,,,,,,6.938423609954376e-05,96
12,,-0.09195064008235931,,,0.0172809399664402,-0.07466970384120941,,99
12,-0.13176557421684265,,-0.11417747288942337,0.017588095739483833,,,,103
,,,,,,,6.730270901655745e-05,104
13,-0.10355078428983688,,-0.08492285013198853,0.018627934157848358,,,,111
,,,,,,,6.528362774606072e-05,112
14,-0.07827159762382507,,-0.05890291556715965,0.01936868205666542,,,,119
,,,,,,,6.332511891367889e-05,120
15,-0.058679815381765366,,-0.038744743913412094,0.01993507146835327,,,,127
,,,,,,,6.142536534626853e-05,128
16,-0.03527744859457016,,-0.016097070649266243,0.019180376082658768,,,,135
,,,,,,,5.958260438588047e-05,136
17,-0.009691299870610237,,0.008048716001212597,0.01774001680314541,,,,143
,,,,,,,5.7795126254304054e-05,144
18,,-0.009637929499149323,,,0.018485931679606438,0.008848002180457115,,149
18,-0.00821571983397007,,0.00907350704073906,0.017289230599999428,,,,151
,,,,,,,5.606127246667493e-05,152
19,0.005462339613586664,,0.02089512161910534,0.015432783402502537,,,,159
,,,,,,,5.437943429267468e-05,160
20,0.023927150294184685,,0.03633798286318779,0.012410830706357956,,,,167
,,,,,,,5.274805126389444e-05,168
21,0.03472059965133667,,0.046297214925289154,0.011576615273952484,,,,175
,,,,,,,5.11656097259776e-05,176
22,0.03599366545677185,,0.0460377037525177,0.010044039227068424,,,,183
,,,,,,,4.9630641434198275e-05,184
23,0.052334945648908615,,0.060714028775691986,0.008379083126783371,,,,191
,,,,,,,4.814172219117233e-05,192
24,,0.04632676765322685,,,0.007508259266614914,0.053835026919841766,,199
24,0.06728310883045197,,0.07478830218315125,0.007505190093070269,,,,199
,,,,,,,4.669747052543716e-05,200
25,0.06305688619613647,,0.06936834752559662,0.006311470177024603,,,,207
,,,,,,,4.5296546409674046e-05,208
26,0.06896944344043732,,0.07406911998987198,0.0050996835343539715,,,,215
,,,,,,,4.393765001738382e-05,216
27,0.06859083473682404,,0.07303529977798462,0.004444464575499296,,,,223
,,,,,,,4.2619520516862305e-05,224
28,0.05022507160902023,,0.053898945450782776,0.003673872444778681,,,,231
,,,,,,,4.134093490135643e-05,232
29,0.06089215353131294,,0.06380490958690643,0.002912763739004731,,,,239
,,,,,,,4.010070685431574e-05,240
30,0.055306755006313324,,0.05762878805398941,0.0023220351431518793,,,,247
,,,,,,,3.889768564868627e-05,248
31,,0.04306509345769882,,,0.0018455442041158676,0.04491063952445984,,249
31,0.048838984221220016,,0.05081730708479881,0.0019783172756433487,,,,255
,,,,,,,3.773075507922568e-05,256
32,0.03410698473453522,,0.036163244396448135,0.0020562633872032166,,,,263
,,,,,,,3.659883242684891e-05,264
33,0.028866814449429512,,0.030751168727874756,0.0018843560246750712,,,,271
,,,,,,,3.550086745404344e-05,272
34,0.018829457461833954,,0.0207444466650486,0.0019149886211380363,,,,279
,,,,,,,3.4435841430422135e-05,280
35,0.014482863247394562,,0.01642686128616333,0.0019439965253695846,,,,287
,,,,,,,3.340276618750947e-05,288
36,0.008926117792725563,,0.010963086038827896,0.002036968246102333,,,,295
,,,,,,,3.240068320188419e-05,296
37,,-0.006109893321990967,,,0.0025526282843202353,-0.0035572650376707315,,299
37,-0.0020068346057087183,,0.000336619617883116,0.0023434541653841734,,,,303
,,,,,,,3.142866270582766e-05,304
38,-0.004071500152349472,,-0.001623735181055963,0.002447764854878187,,,,311
,,,,,,,3.0485802824652827e-05,312
39,-0.010057387873530388,,-0.007401012349873781,0.0026563757564872503,,,,319
,,,,,,,2.957122873991324e-05,320
40,-0.012591802515089512,,-0.009855381213128567,0.0027364210691303015,,,,327
,,,,,,,2.8684091877715842e-05,328
41,-0.016209134832024574,,-0.013393289409577847,0.0028158456552773714,,,,335
,,,,,,,2.7823569121384366e-05,336
42,-0.016568724066019058,,-0.013775220140814781,0.0027935043908655643,,,,343
,,,,,,,2.6988862047742834e-05,344
43,,-0.013857163488864899,,,0.0026068591978400946,-0.01125030405819416,,349
43,-0.015331421047449112,,-0.012629351578652859,0.002702070167288184,,,,351
,,,,,,,2.617919618631055e-05,352
44,-0.011764486320316792,,-0.00932113267481327,0.0024433531798422337,,,,359
,,,,,,,2.5393820300721232e-05,360
45,-0.013966916128993034,,-0.011739312671124935,0.0022276032250374556,,,,367
,,,,,,,2.4632005691699594e-05,368
46,-0.010826555080711842,,-0.008938104845583439,0.0018884505843743682,,,,375
,,,,,,,2.3893045520948606e-05,376
