epoch,loss_contrastive_divergence_epoch,loss_contrastive_divergence_step,loss_epoch,loss_regularization_epoch,loss_regularization_step,loss_step,lr-Adam,step
,,,,,,,0.0001,0
0,0.007135996129363775,,0.008700904436409473,0.0015649080742150545,,,,7
,,,,,,,9.7e-05,8
1,-0.022266395390033722,,-0.02114037051796913,0.0011260268511250615,,,,15
,,,,,,,9.409e-05,16
2,-0.036144230514764786,,-0.035122957080602646,0.0010212718043476343,,,,23
,,,,,,,9.12673e-05,24
3,-0.04713054746389389,,-0.045734941959381104,0.0013956063194200397,,,,31
,,,,,,,8.8529281e-05,32
4,-0.049811579287052155,,-0.04749840125441551,0.002313175005838275,,,,39
,,,,,,,8.587340257e-05,40
5,-0.05462576448917389,,-0.05108986422419548,0.003535896772518754,,,,47
,,,,,,,8.329720049289999e-05,48
6,,-0.03460391238331795,,,0.004618341103196144,-0.029985571280121803,,49
6,-0.058114249259233475,,-0.05337989702820778,0.004734352231025696,,,,55
,,,,,,,8.079828447811299e-05,56
7,-0.05984557792544365,,-0.053835928440093994,0.006009645294398069,,,,63
,,,,,,,7.83743359437696e-05,64
8,-0.04601260647177696,,-0.03872359171509743,0.007289011497050524,,,,71
,,,,,,,7.60231058654565e-05,72
9,-0.019918208941817284,,-0.013446205295622349,0.006472005043178797,,,,79
,,,,,,,7.37424126894928e-05,80
10,-0.021816527470946312,,-0.01573740318417549,0.006079122424125671,,,,87
,,,,,,,7.1530140308808e-05,88
11,-0.007740735542029142,,-0.0022535081952810287,0.005487226881086826,,,,95
,,,,,,,6.938423609954376e-05,96
12,,0.014463511295616627,,,0.004678886383771896,0.01914239674806595,,99
12,0.010142400860786438,,0.015122370794415474,0.004979971796274185,,,,103
,,,,,,,6.730270901655745e-05,104
13,0.0014336224412545562,,0.0054459464736282825,0.004012324847280979,,,,111
,,,,,,,6.528362774606072e-05,112
14,0.012917742133140564,,0.016391348093748093,0.0034736075904220343,,,,119
,,,,,,,6.332511891367889e-05,120
15,0.0208200104534626,,0.023121410980820656,0.0023013981990516186,,,,127
,,,,,,,6.142536534626853e-05,128
16,0.013092191889882088,,0.014981427229940891,0.0018892359221354127,,,,135
,,,,,,,5.958260438588047e-05,136
17,0.01201476901769638,,0.01348246168345213,0.0014676920836791396,,,,143
,,,,,,,5.7795126254304054e-05,144
18,,-0.0028312355279922485,,,0.0013254148652777076,-0.001505820662714541,,149
18,0.006219362374395132,,0.0075220344588160515,0.0013026731321588159,,,,151
,,,,,,,5.606127246667493e-05,152
19,0.0022118673659861088,,0.0034337376710027456,0.001221870188601315,,,,159
,,,,,,,5.437943429267468e-05,160
20,-0.006702107843011618,,-0.005390849430114031,0.0013112579472362995,,,,167
,,,,,,,5.274805126389444e-05,168
21,-0.005074122454971075,,-0.003926464822143316,0.0011476573999971151,,,,175
,,,,,,,5.11656097259776e-05,176
22,-0.007792133372277021,,-0.006664963439106941,0.0011271692346781492,,,,183
,,,,,,,4.9630641434198275e-05,184
23,-0.009191112592816353,,-0.008131851442158222,0.0010592613834887743,,,,191
,,,,,,,4.814172219117233e-05,192
24,,-0.00760018453001976,,,0.0008359301718883216,-0.006764254532754421,,199
24,-0.010146724060177803,,-0.009286047890782356,0.0008606762858107686,,,,199
,,,,,,,4.669747052543716e-05,200
25,-0.008545530028641224,,-0.007878530770540237,0.0006669990252703428,,,,207
,,,,,,,4.5296546409674046e-05,208
26,-0.00720949936658144,,-0.006731211207807064,0.0004782886244356632,,,,215
,,,,,,,4.393765001738382e-05,216
27,-0.004012830089777708,,-0.0036896271631121635,0.0003232024610042572,,,,223
,,,,,,,4.2619520516862305e-05,224
28,-0.005166994873434305,,-0.0049400776624679565,0.0002269171818625182,,,,231
,,,,,,,4.134093490135643e-05,232
29,-0.003277933457866311,,-0.003139851614832878,0.00013808163930661976,,,,239
,,,,,,,4.010070685431574e-05,240
30,-0.0014174890238791704,,-0.001317644608207047,9.984441567212343e-05,,,,247
,,,,,,,3.889768564868627e-05,248
31,,0.0007166764698922634,,,5.113376028020866e-05,0.000767810211982578,,249
31,-3.3539174182806164e-05,,3.4023807529592887e-05,6.756299990229309e-05,,,,255
,,,,,,,3.773075507922568e-05,256
32,-0.00020836359180975705,,-0.0001426462986273691,6.571731501026079e-05,,,,263
,,,,,,,3.659883242684891e-05,264
33,0.0007927455590106547,,0.0008531466592103243,6.0401220252970234e-05,,,,271
,,,,,,,3.550086745404344e-05,272
34,0.001283530262298882,,0.0013484522933140397,6.492211105069146e-05,,,,279
,,,,,,,3.4435841430422135e-05,280
35,0.0016945917159318924,,0.0017585059395059943,6.39140562270768e-05,,,,287
,,,,,,,3.340276618750947e-05,288
36,0.0004265881725586951,,0.0005139707936905324,8.738260657992214e-05,,,,295
,,,,,,,3.240068320188419e-05,296
37,,0.0023223517928272486,,,3.989026299677789e-05,0.002362241968512535,,299
37,0.0027328142896294594,,0.002806804608553648,7.399048627121374e-05,,,,303
,,,,,,,3.142866270582766e-05,304
38,0.0025039378087967634,,0.0025655750650912523,6.163729267427698e-05,,,,311
,,,,,,,3.0485802824652827e-05,312
39,0.0014682578621432185,,0.0015399875119328499,7.172963523771614e-05,,,,319
,,,,,,,2.957122873991324e-05,320
40,0.0025053510908037424,,0.0025612469762563705,5.589562715613283e-05,,,,327
,,,,,,,2.8684091877715842e-05,328
41,0.0026125318836420774,,0.0026816329918801785,6.910100637469441e-05,,,,335
,,,,,,,2.7823569121384366e-05,336
42,0.002560746157541871,,0.002638032892718911,7.728687342023477e-05,,,,343
,,,,,,,2.6988862047742834e-05,344
43,,0.0025075285229831934,,,9.789146861294284e-05,0.00260542007163167,,349
